label,y,x,area_px,major_axis_px,minor_axis_px,eccentricity,orientation_deg,mean_intensity,max_intensity,mean_z,max_z,bbox_min_y,bbox_min_x,bbox_max_y,bbox_max_x,radius_px
58,568.0882777710916,77.61848597905885,170,30.18687079912219,7.499418261683928,0.9686490534441683,16.861898631755377,195.50588989257812,583.0,21.651947021484375,73.92418670654297,554,71,583,83,457.33203125
59,564.8352424289973,419.2594800983315,25,7.057516290634768,4.610538342474212,0.7571158976944927,35.148897961246504,764.760009765625,4302.0,118.00816345214844,720.5247802734375,562,416,569,422,118.72205352783203
60,602.1144219308701,222.09713945172825,55,12.392792642491871,5.751220892981658,0.8857944031077487,-72.27179721072919,91.52727508544922,142.0,9.438578605651855,18.042627334594727,599,217,606,229,322.4535827636719
61,616.1736674902929,651.2982703847512,17,7.218906868992993,3.038082317916847,0.9071298982486925,-41.88708546778711,166.64706420898438,447.0,23.041793823242188,70.31566619873047,613,649,619,655,185.95172119140625
62,667.8144360902255,891.7221052631579,22,6.3971607766997085,4.435242419459034,0.72063542599406,-25.245559101602943,151.13636779785156,282.0,15.531681060791016,33.18494415283203,665,890,672,895,426.70916748046875
63,676.4788535477106,555.4833974134917,20,6.0,4.09878030638384,0.7302967433402214,90.0,572.2000122070312,2576.0,91.4272232055664,429.3133850097656,675,553,679,559,186.06497192382812
64,688.3341112012987,226.0588474025974,71,24.81467441105669,3.8237602387737666,0.9880563946820337,36.74182494808105,138.81689453125,282.0,10.157623291015625,23.22175407409668,679,218,698,234,357.1394348144531
65,717.2006960556845,171.07192575406032,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,172.39999389648438,288.0,18.40010643005371,33.99433517456055,716,170,719,173,419.69171142578125
66,730.6967361740707,791.8476881233001,14,5.656854249492381,3.1558174334820754,0.8299250027587322,-45.0,157.57142639160156,334.0,20.427433013916016,50.08094024658203,729,790,734,795,373.175537109375
67,736.7905858314022,459.89729884627843,129,19.836369236599648,8.510856978296403,0.9032792384834515,69.72250559558667,1866.55810546875,34062.0,309.21221923828125,5738.0615234375,732,450,742,471,250.6538848876953
68,745.3669351018475,118.8564661297963,31,10.396509459862548,4.064004064006097,0.9204328055863215,36.86989764584402,340.4838562011719,1262.0,41.344112396240234,165.65492248535156,740,115,749,122,478.92926025390625
69,767.617800245098,607.4632352941177,45,11.056574592234307,5.1769727810031645,0.8836088839135477,-65.59697826684261,145.06666564941406,383.0,16.884002685546875,47.07945251464844,765,603,772,613,292.6341857910156
70,775.6662226450999,418.23558515699335,48,14.93017790250812,4.310782220782421,0.9574107259998091,66.31479528327534,109.47916412353516,192.0,9.268158912658691,17.424345016479492,772,413,780,426,301.5225524902344
71,776.22805482648,66.44211140274132,15,4.822171018673366,4.0,0.5585038992742907,45.0,228.60000610351562,884.0,27.159494400024414,115.47281646728516,774,64,779,69,538.4380493164062
72,798.2160735883286,363.21680588101896,172,26.30632848940376,8.789147873801623,0.9425348907301355,56.0307329695193,1230.6046142578125,21993.0,161.74993896484375,2961.82373046875,792,353,808,378,345.8343505859375
73,826.9424920127796,483.89297124600637,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,125.19999694824219,213.0,15.074869155883789,29.846216201782227,826,483,829,486,338.595458984375
74,849.0847903513032,941.8436943500081,51,11.72985342253706,5.652020257896855,0.87625416823257,-70.96448452279992,484.4705810546875,3200.0,61.846832275390625,428.1667175292969,848,936,855,948,562.073486328125
75,852.5312180143296,598.1125895598772,8,3.4641016151377544,2.8284271247461903,0.5773502691896258,0.0,122.125,162.0,14.265480041503906,21.077836990356445,851,597,855,600,373.18768310546875
76,861.3249826829831,263.8435696144078,38,10.087012675362478,4.908310347475194,0.8736265428488532,30.053029578533273,227.94737243652344,1034.0,26.028242111206055,134.76324462890625,857,260,867,267,452.1782531738281
77,910.6541353383459,841.6334586466165,10,4.0,3.149603149604724,0.6164414002968978,-45.0,106.4000015258789,156.0,11.449480056762695,17.266963958740234,909,840,913,844,535.5764770507812
78,915.0627009646303,502.08199356913184,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,124.4000015258789,154.0,11.924996376037598,15.91798210144043,914,501,917,504,426.48199462890625
79,972.9735234215885,742.8696537678208,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,98.19999694824219,150.0,10.157831192016602,16.45757484436035,972,742,975,745,535.3536376953125
80,978.722740922741,402.8255892255892,111,17.341339711161364,8.688587689983208,0.8654280377093237,60.98091125343962,495.0,3418.0,62.5271110534668,456.9000244140625,974,393,985,411,502.56915283203125
81,1036.853325474015,644.0192880767594,79,12.924471118093065,7.934873175836957,0.789351287720042,-85.54633656365613,386.5443115234375,1982.0,48.63676071166992,263.86077880859375,1033,637,1042,651,561.0467529296875
82,1041.7509433962264,299.9607547169811,8,4.898979485566356,1.9364916731037085,0.9185586535436918,90.0,165.625,351.0,23.9865779876709,55.13962173461914,1041,298,1043,303,590.475830078125
