peak_group,group_two_theta,reliable,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area
166,7.8221,1,0.352941,6,0.352941,3,0.176471,0.00856101,0.0856101
167,7.8543,1,0.411765,7,0.411765,5,0.294118,0.00563343,0.0563343
168,7.8998,1,0.294118,5,0.294118,2,0.117647,0.0119556,0.119556
169,7.9165,1,0.294118,5,0.294118,3,0.176471,0.0120861,0.120861
170,7.9634,1,0.352941,6,0.352941,6,0.352941,0.00968515,0.0968515
171,8.0065,1,0.294118,5,0.294118,4,0.235294,0.0212111,0.212111
172,8.0415,1,0.352941,6,0.352941,4,0.235294,0.0194434,0.194434
173,8.0611,1,0.352941,6,0.352941,4,0.235294,0.0178031,0.178031
174,8.1067,1,0.294118,5,0.294118,3,0.176471,0.0053021,0.053021
175,8.1307,0,0.176471,3,0.176471,2,0.117647,0.00243975,0.0243975
176,8.1685,1,0.411765,6,0.352941,7,0.411765,0.000215082,0.00215082
177,8.193,1,0.411765,5,0.294118,7,0.411765,0.00025343,0.0025343
178,8.2242,1,0.470588,8,0.470588,7,0.411765,0.000221859,0.00221859
179,8.2533,1,0.588235,10,0.588235,7,0.411765,0.000228141,0.00228141
180,8.2809,1,0.470588,8,0.470588,6,0.352941,0.000586692,0.00586692
181,8.3238,1,0.411765,7,0.411765,3,0.176471,0.00037553,0.0037553
182,8.3458,1,0.411765,7,0.411765,3,0.176471,0.000248455,0.00248455
183,8.3743,0,0.176471,2,0.117647,3,0.176471,0.000120603,0.00120603
184,8.4203,1,0.294118,5,0.294118,2,0.117647,0.000112775,0.00112775
185,8.4407,0,0.235294,4,0.235294,3,0.176471,0.000119611,0.00119611
186,8.4785,1,0.411765,7,0.411765,3,0.176471,0.0001,0.000259502
187,8.5012,0,0.294118,2,0.117647,5,0.294118,0.0001,0.000653446
188,8.5475,0,0.235294,4,0.235294,4,0.235294,0.0001,0.000627265
189,8.5729,1,0.352941,6,0.352941,3,0.176471,0.0001,0.000869102
190,8.6056,0,0.235294,4,0.235294,3,0.176471,0.000291791,0.00291791
191,8.6419,1,0.352941,6,0.352941,2,0.117647,0.000428004,0.00428004
192,8.6744,1,0.352941,6,0.352941,1,0.0588235,0.00055327,0.0055327
193,8.6987,1,0.352941,6,0.352941,1,0.0588235,0.000766801,0.00766801
194,8.7297,0,0.176471,3,0.176471,1,0.0588235,0.000681877,0.00681877
195,8.7674,1,0.294118,5,0.294118,3,0.176471,0.000369227,0.00369227
196,8.8037,1,0.294118,5,0.294118,4,0.235294,0.00111849,0.0111849
197,8.8403,1,0.352941,6,0.352941,2,0.117647,0.00124578,0.0124578
198,8.87,1,0.411765,7,0.411765,3,0.176471,0.00123375,0.0123375
199,8.8921,1,0.411765,7,0.411765,4,0.235294,0.00151632,0.0151632
200,8.9243,1,0.411765,7,0.411765,3,0.176471,0.00118043,0.0118043
201,8.9622,1,0.294118,5,0.294118,4,0.235294,0.000916375,0.00916375
202,8.9902,0,0.294118,4,0.235294,5,0.294118,0.000421623,0.00421623
203,9.046,1,0.411765,7,0.411765,5,0.294118,0.000308174,0.00308174
204,9.0744,1,0.470588,8,0.470588,5,0.294118,0.000323411,0.00323411
205,9.1023,1,0.470588,8,0.470588,5,0.294118,0.000464227,0.00464227
206,9.1305,1,0.352941,6,0.352941,5,0.294118,0.000592707,0.00592707
207,9.1709,1,0.411765,7,0.411765,5,0.294118,0.000774026,0.00774026
208,9.1999,0,0.294118,4,0.235294,5,0.294118,0.000718383,0.00718383
209,9.2374,0,0.294118,4,0.235294,5,0.294118,0.000402144,0.00402144
210,9.2713,1,0.294118,5,0.294118,3,0.176471,0.00271544,0.0271544
211,9.3066,0,0.235294,4,0.235294,3,0.176471,0.00853754,0.0853754
212,9.3385,0,0.235294,4,0.235294,3,0.176471,0.025382,0.25382
213,9.3694,1,0.294118,5,0.294118,3,0.176471,0.0306996,0.306996
214,9.3953,1,0.470588,8,0.470588,4,0.235294,0.0328441,0.328441
215,9.4339,0,0.235294,4,0.235294,4,0.235294,0.021523,0.21523
216,9.4501,0,0.294118,3,0.176471,5,0.294118,0.0214876,0.214876
217,9.481,1,0.294118,5,0.294118,4,0.235294,0.0148858,0.148858
218,9.5136,0,0.176471,3,0.176471,3,0.176471,0.0184388,0.184388
219,9.5604,0,0.235294,1,0.0588235,4,0.235294,0.0117914,0.117914
220,9.5925,0,0.352941,4,0.235294,6,0.352941,0.0130843,0.130843
221,9.6332,0,0.352941,4,0.235294,6,0.352941,0.0140493,0.140493
222,9.6704,0,0.235294,4,0.235294,4,0.235294,0.0268361,0.268361
223,9.7029,0,0.235294,4,0.235294,3,0.176471,0.0318309,0.318309
224,9.7403,0,0.235294,4,0.235294,2,0.117647,0.0282699,0.282699
225,9.7661,0,0.0588235,1,0.0588235,1,0.0588235,0.0148968,0.148968
226,9.8073,1,0.411765,7,0.411765,1,0.0588235,0.00321036,0.0321036
227,9.8294,1,0.352941,6,0.352941,6,0.352941,0.00549105,0.0549105
228,9.8743,0,0.235294,4,0.235294,3,0.176471,0.0111128,0.111128
229,9.9178,1,0.352941,6,0.352941,3,0.176471,0.0152989,0.152989
230,9.9434,0,0.235294,4,0.235294,4,0.235294,0.0167961,0.167961
231,9.9856,0,0.352941,3,0.176471,6,0.352941,0.0123344,0.123344
232,10.0138,1,0.352941,5,0.294118,6,0.352941,0.00652633,0.0652633
233,10.0552,1,0.411765,7,0.411765,3,0.176471,0.00432794,0.0432794
234,10.0823,0,0.176471,2,0.117647,3,0.176471,0.00415261,0.0415261
235,10.1017,0,0.352941,4,0.235294,6,0.352941,0.00399213,0.0399213
236,10.1367,0,0.235294,4,0.235294,2,0.117647,0.00189187,0.0189187
237,10.1684,1,0.470588,8,0.470588,3,0.176471,0.0018437,0.018437
238,10.2066,1,0.294118,5,0.294118,1,0.0588235,0.00166711,0.0166711
239,10.2435,0,0.235294,4,0.235294,3,0.176471,0.00223207,0.0223207
240,10.282,1,0.294118,5,0.294118,1,0.0588235,0.00228144,0.0228144
241,10.3281,1,0.294118,5,0.294118,3,0.176471,0.000997097,0.00997097
242,10.3644,0,0.235294,4,0.235294,0,0,0.0001,7.614e-05
243,10.4356,1,0.294118,5,0.294118,1,0.0588235,0.000433841,0.00433841
244,10.4766,0,0.117647,2,0.117647,1,0.0588235,0.00436058,0.0436058
245,10.5158,0,0.235294,2,0.117647,4,0.235294,0.00935342,0.0935342
246,10.558,0,0.294118,2,0.117647,5,0.294118,0.00933062,0.0933062
247,10.6088,1,0.529412,9,0.529412,5,0.294118,0.00928907,0.0928907
248,10.6469,1,0.470588,8,0.470588,6,0.352941,0.0180973,0.180973
249,10.6731,1,0.470588,8,0.470588,7,0.411765,0.0203226,0.203226
250,10.7041,1,0.411765,7,0.411765,7,0.411765,0.0187954,0.187954
251,10.7336,1,0.294118,5,0.294118,5,0.294118,0.0110396,0.110396
252,10.7624,0,0.294118,1,0.0588235,5,0.294118,0.00644594,0.0644594
