frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
6.2GPa,0.7GPa,0.397512,0.272414,0.0223014,0.864661,0.816963
6.2GPa,1GPa,0.417286,0.280645,0.0361167,0.894613,0.862018
6.2GPa,1.3GPa,0.384572,0.230216,0.0232595,0.872466,0.816836
6.2GPa,1.5GPa,0.433257,0.28866,0.0662632,0.919779,0.855943
6.2GPa,2.3GPa,0.407392,0.278912,0.00889265,0.886499,0.865368
6.2GPa,2.4GPa_decomp,0.382479,0.25,0.0740637,0.799596,0.752271
6.2GPa,3.9GPa,0.454397,0.289855,0.143866,0.924362,0.832772
6.2GPa,5GPa,0.564576,0.328622,0.416583,0.983491,0.852564
6.6GPa,0.7GPa,0.51519,0.263941,0.371394,0.917458,0.852673
6.6GPa,1GPa,0.416802,0.234899,0.138222,0.856886,0.81162
6.6GPa,1.3GPa,0.508825,0.199234,0.427356,0.914619,0.853083
