peak_group,group_two_theta,frame_count,frames_present,max_normalized_intensity,tier_a_count,tier_b_count,tier_c_count,source_methods
92,5.248253,4,0.7GPa;2.3GPa;6.2GPa;10.4GPa,0.000626098,2,2,0,micro;raw;shoulder
93,5.293820,8,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;5GPa;6.6GPa;7.4GPa;9.8GPa,0.0110295,6,7,0,matched;micro;raw;residual;shoulder
94,5.329199,10,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;6.6GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa,0.226776,5,7,0,bump;matched;micro;raw;residual;shoulder
95,5.358570,8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;12.8GPa;15.6GPa,1,6,2,0,bump;matched;micro;raw;residual;shoulder
96,5.390218,8,1.5GPa;2.3GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;12.8GPa;15.6GPa,0.0032218,6,4,0,matched;micro;raw;shoulder
97,5.425539,6,2.3GPa;2.4GPa_decomp;6.2GPa;6.6GPa;9.8GPa;15.6GPa,0.0275547,3,5,0,matched;micro;raw;shoulder
98,5.468507,6,0.7GPa;1.3GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa,0.0173555,3,5,0,matched;micro;raw;shoulder
99,5.499076,9,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;10.4GPa;15.6GPa,0.00968953,5,5,0,bump;matched;micro;raw;residual;shoulder
100,5.553788,8,0.7GPa;5GPa;6.6GPa;7.4GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.0954857,4,7,0,matched;micro;raw;residual;shoulder
101,5.584541,12,1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa,0.037499,5,9,0,bump;matched;micro;raw;residual;shoulder
102,5.611709,10,0.7GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0250249,7,6,0,bump;matched;micro;raw;shoulder
103,5.659670,8,1GPa;1.3GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;9.8GPa;12.8GPa,0.0250745,4,6,0,bump;matched;micro;raw;residual;shoulder
104,5.688732,8,0.7GPa;1.3GPa;1.5GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;15.6GPa,0.0137888,3,6,0,bump;matched;micro;raw;residual;shoulder
105,5.722733,4,7.4GPa;8.5GPa;9.8GPa;10.4GPa,0.000183804,2,2,0,bump;matched;micro;raw;residual;shoulder
106,5.766885,7,1.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa,0.0397239,3,5,0,bump;matched;micro;raw;residual;shoulder
107,5.805716,6,1GPa;1.5GPa;6.2GPa;9.8GPa;10.4GPa;15.6GPa,0.02712,4,3,0,bump;matched;micro;raw;residual;shoulder
108,5.840394,10,0.7GPa;2.3GPa;2.4GPa_decomp;6.6GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.298066,6,8,0,bump;matched;micro;raw;residual;shoulder
109,5.875450,3,2.4GPa_decomp;3.9GPa;12.8GPa,0.000668053,2,2,0,bump;matched;micro;raw;residual;shoulder
110,5.915163,4,1GPa;5GPa;6.2GPa;12.8GPa,0.000234004,2,2,0,bump;matched;micro;raw;residual;shoulder
111,5.953984,7,0.7GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.0962392,5,3,0,bump;matched;micro;raw;residual;shoulder
112,5.994099,7,1.5GPa;2.4GPa_decomp;3.9GPa;6.6GPa;10.4GPa;12.8GPa;13.3GPa,0.0221808,2,6,0,matched;micro;raw;shoulder
113,6.026880,5,1GPa;1.5GPa;2.3GPa;10.4GPa;12.8GPa,0.0138513,4,3,0,matched;micro;raw;shoulder
114,6.049416,4,1GPa;1.5GPa;2.3GPa;12.8GPa,0.00859926,3,2,0,matched;micro;raw;shoulder
115,6.096070,6,1GPa;1.5GPa;2.4GPa_decomp;6.2GPa;10.4GPa;13.3GPa,0.0118829,1,6,0,bump;matched;micro;raw;shoulder
116,6.135492,8,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;7.4GPa;8.5GPa;12.8GPa,0.0122626,2,9,0,matched;micro;raw;shoulder
117,6.165635,3,1.5GPa;3.9GPa;5GPa,0.000596473,1,3,0,matched;micro;raw;shoulder
118,6.204448,5,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa,0.0225588,2,5,0,matched;micro;raw;residual;shoulder
119,6.231211,4,1GPa;2.4GPa_decomp;3.9GPa;9.8GPa,0.0360378,5,0,0,matched;micro;raw;shoulder
120,6.262012,8,1.5GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa,0.115034,5,5,0,matched;micro;raw;residual;shoulder
121,6.299976,11,0.7GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;15.6GPa,0.207859,9,4,0,bump;matched;micro;raw;residual;shoulder
122,6.325754,6,1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;5GPa;15.6GPa,0.0301502,2,5,0,bump;matched;micro;raw;residual;shoulder
123,6.352891,4,2.4GPa_decomp;5GPa;7.4GPa;9.8GPa,0.0027499,1,5,0,matched;micro;raw;shoulder
124,6.381548,3,1.5GPa;5GPa;7.4GPa,0.00593247,3,2,0,matched;micro;raw;shoulder
125,6.434893,6,0.7GPa;1GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa,0.185905,1,5,0,matched;micro;raw;residual;shoulder
126,6.450539,7,1GPa;1.5GPa;2.3GPa;6.2GPa;6.6GPa;9.8GPa;12.8GPa,0.0348042,2,6,0,matched;micro;raw;residual;shoulder
127,6.487743,7,1GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;9.8GPa,0.0350871,3,5,0,matched;micro;raw;residual;shoulder
128,6.521016,6,1.5GPa;2.3GPa;5GPa;7.4GPa;12.8GPa;15.6GPa,0.0435993,4,4,0,bump;matched;micro;raw;residual;shoulder
129,6.545415,9,1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa,0.105349,7,4,0,matched;micro;raw;residual;shoulder
130,6.589319,9,1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa,0.490532,11,1,0,bump;matched;micro;raw;shoulder
131,6.619488,4,1GPa;1.5GPa;2.4GPa_decomp;6.6GPa,0.131124,4,3,0,bump;matched;micro;raw;residual;shoulder
132,6.650353,4,1.5GPa;2.3GPa;2.4GPa_decomp;13.3GPa,0.00263318,3,1,0,bump;matched;micro;raw;residual
133,6.663128,5,1GPa;3.9GPa;6.6GPa;8.5GPa;12.8GPa,0.697867,3,4,0,matched;micro;raw;shoulder
134,6.697968,5,2.3GPa;5GPa;7.4GPa;9.8GPa;12.8GPa,0.0501715,5,3,0,bump;matched;micro;raw;residual;shoulder
135,6.746372,4,3.9GPa;6.2GPa;8.5GPa;10.4GPa,0.00217845,3,2,0,bump;matched;micro;raw;residual;shoulder
136,6.774472,5,0.7GPa;5GPa;7.4GPa;8.5GPa;10.4GPa,0.471922,3,3,0,bump;matched;raw;shoulder
137,6.792781,4,5GPa;6.2GPa;7.4GPa;9.8GPa,0.000114877,2,3,0,bump;matched;micro;raw;residual;shoulder
138,6.824368,4,6.2GPa;7.4GPa;9.8GPa;13.3GPa,1,3,4,0,bump;matched;micro;raw;residual;shoulder
139,6.863027,7,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;8.5GPa;9.8GPa;12.8GPa,0.127613,7,2,0,bump;matched;micro;raw;residual;shoulder
140,6.888298,7,1.3GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;9.8GPa;12.8GPa,0.0614344,2,5,0,bump;matched;micro;raw;residual;shoulder
141,6.933406,7,0.7GPa;2.3GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa;15.6GPa,0.335199,6,4,0,bump;matched;micro;raw;residual;shoulder
142,6.967050,4,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa,0.088319,4,2,0,bump;matched;micro;raw;residual;shoulder
143,6.998573,10,0.7GPa;1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;15.6GPa,0.0389427,4,8,0,bump;matched;micro;raw;residual;shoulder
144,7.039095,6,0.7GPa;1.5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa,0.0260476,3,3,0,bump;matched;micro;raw;shoulder
145,7.064327,3,7.4GPa;8.5GPa;9.8GPa,0.0681691,2,1,0,bump;matched;micro;shoulder
146,7.100395,2,9.8GPa;12.8GPa,0.469034,3,0,0,bump;matched;micro;raw;residual;shoulder
147,7.125125,5,0.7GPa;1GPa;2.4GPa_decomp;3.9GPa;5GPa,0.0109693,1,4,0,matched;micro;raw;shoulder
148,7.162105,5,1.3GPa;1.5GPa;2.3GPa;6.6GPa;7.4GPa,0.0241573,4,3,0,matched;micro;raw;shoulder
149,7.223982,8,0.7GPa;1.3GPa;2.4GPa_decomp;5GPa;6.6GPa;7.4GPa;9.8GPa;15.6GPa,0.00816881,2,7,0,bump;matched;micro;raw;shoulder
150,7.260468,3,3.9GPa;10.4GPa;15.6GPa,0.00236995,3,0,0,matched;micro;raw;shoulder
151,7.307626,9,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;13.3GPa;15.6GPa,0.0181132,4,7,0,bump;matched;micro;raw;residual;shoulder
152,7.338526,9,0.7GPa;1GPa;1.5GPa;2.3GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa,0.0031114,3,8,0,bump;matched;micro;raw;shoulder
153,7.373714,8,1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa,0.00694819,6,5,0,bump;matched;micro;raw;shoulder
154,7.396698,8,3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa,0.0313932,5,4,0,bump;matched;micro;raw;shoulder
155,7.439083,11,0.7GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.13483,9,7,0,bump;matched;micro;raw;shoulder
156,7.457283,12,1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa,0.0385599,7,10,0,matched;micro;raw;shoulder
157,7.488684,2,1GPa;10.4GPa,0.000114013,0,2,0,micro;raw;shoulder
158,7.545056,5,0.7GPa;2.3GPa;7.4GPa;13.3GPa;15.6GPa,0.0118875,2,3,0,matched;micro;raw;residual;shoulder
159,7.583402,9,1GPa;1.5GPa;2.4GPa_decomp;5GPa;7.4GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa,0.117707,4,6,0,bump;matched;micro;raw;residual;shoulder
160,7.599661,11,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa,0.654684,6,5,0,bump;matched;micro;raw;residual;shoulder
161,7.646529,11,0.7GPa;1GPa;2.3GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0225793,7,6,0,bump;matched;micro;raw;residual;shoulder
