frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.297678,0.293408,109.251,0.261292,121,6.299976,-0.00229838,bump;matched;micro;raw;residual;shoulder,6,A,2730.3,1,0.526688,0.312808,0.445619,w2:11.6731;w3:25.2464;w5:60.7943;w8:109.251,8,109.251,0.152879,0.182353,0.178754,0.178754,0.0867543,2.06046,0.198524,0.00929083,0.261292,3.61803,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.409865,0.15508,4.79858e-05,0.0196512,125,6.434893,-0.025028,shoulder,1,B,1102.02,1,0.36914,0.15508,4.79858e-05,,,0,0.0227247,0.00576515,0.0393234,0.00576515,0.0285784,0.201731,-1.44622,0.00116818,0.0196512,0.112187,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.564122,0.00113216,0.00113216,0.026308,,,,shoulder,1,C,100.001,0,0.141702,-0.0641672,0.00113216,,,0,-0.0431112,0.0034285,-0.0210256,-0.0210256,0.035984,-0.584304,-0.807551,-0.000254724,0.026308,0.154257,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.634239,0.000518186,0.000518186,0.0318334,,,,shoulder,1,C,100.001,0,0.112681,-0.0846522,0.000518186,,,0,-0.0192564,-0.000276373,-0.00873939,-0.00873939,0.0147006,-0.594491,-0.355151,-0.000266003,0.0318334,0.0701169,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.718379,0.000527988,0.000527988,0.0348496,,,,shoulder,1,C,100.001,0,0.0994453,-0.0862628,0.000527988,,,0,-0.00521539,0.00117594,-0.00465173,-0.00465173,0.00328794,-1.41478,-0.15236,0.000111226,0.0348496,0.0560935,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.774473,1.12522,1.12522,0,136,6.774472,1.62565e-07,matched;raw,2,A,2207.05,1,0.0950356,-0.0808696,0.00165222,w2:0.929423;w3:1.12522;w5:0.200401,3,1.12522,-0.000613905,0.00121667,0.00175929,0.00121667,0.00205277,0.592698,-0.0911223,2.40688e-05,0,0.154257,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.802519,0.00217637,0.00217637,0.0442098,,,,shoulder,1,C,101.315,0,0.0949356,-0.0772261,0.00217637,,,0,5.0618e-05,0.000415717,0.00418326,0.000415717,0.00316552,0.131326,-0.0686531,0.00114974,0.0442098,0.0280467,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.872636,0.000257816,0.000257816,0.0193656,,,,raw,1,C,100,0,0.0858139,-0.0722048,0.000257816,,,0,-0.00600133,-0.00382456,-0.00533923,-0.00533923,0.00110452,-4.83399,-0.0446657,-0.00067326,0.0193656,0.0560935,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.928730,0.553468,0.553468,0.0534526,141,6.933406,-0.00467613,matched;micro;raw;shoulder,4,A,2411.24,1,0.0897912,-0.0549862,0.00478037,w2:0.553468;w3:0.477893,2,0.553468,0.00200175,0.00501715,0.00154419,0.00154419,0.00144523,1.06848,-0.0279391,0.00117082,0.0534526,0.196327,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.012870,0.0018461,0.0018461,0,143,6.998573,0.0142968,micro;raw;shoulder,3,B,1301.93,1,0.086375,-0.0374214,0.0018461,,,0,-0.000333007,0.000360716,0.000630061,0.000360716,0.00186925,0.192973,-0.0092799,5.79312e-05,0,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.040917,0.000603759,0.000603759,0.0194941,144,7.039095,0.00182139,raw,1,B,1101.92,1,0.0853326,-0.0299595,0.000603759,,,0,-0.0005379,0.000311722,0.000708628,0.000311722,0.00162212,0.192169,-0.0110778,0.000222011,0.0194941,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.068963,0.000289482,0.000289482,0.00790108,,,,raw,1,C,100,0,0.0852829,-0.0231762,0.000289482,,,0,-0.00181601,-0.000684871,-0.000447602,-0.000684871,0.00189031,-0.362306,-0.00830278,-0.000357444,0.00790108,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.125057,0.445731,0.445731,0.0355362,147,7.125125,-6.82263e-05,matched;micro;raw;shoulder,4,A,2417.85,1,0.0881554,-0.0051147,0.00515468,w2:0.445731,2,0.445731,0.00141395,0.00181063,0.00214686,0.00181063,0.00104076,1.73972,0.00250658,0.00136804,0.0355362,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.209197,0.331936,0.331936,0.0329779,149,7.223982,-0.0147847,matched;micro;raw;shoulder,4,A,2420.58,1,0.0868465,0.0165914,0.00429703,w2:0.331936,2,0.331936,0.00197783,0.00266013,0.00254016,0.00254016,0.00125489,2.02421,0.00763419,0.00150858,0.0329779,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.251267,29.2966,29.2966,0,,,,matched,1,C,129.297,0,0.0839557,0.020644,0,w5:16.3825;w8:29.2966,8,29.2966,-0.000714951,-0.000184817,-0.000275855,-0.000275855,0.00154972,-0.178002,0.00241914,-0.00108282,0,0.0420701,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.293337,0.0252918,7.56246,0.968168,151,7.307626,-0.0142888,bump;matched;micro;raw;residual;shoulder,6,A,2624.39,1,0.0890768,0.0270583,0.0697114,w2:3.73941;w3:7.56246,3,7.56246,0.00265973,0.00310567,0.00354491,0.00310567,0.00185287,1.67614,0.00879323,0.00110098,0.968168,0.99566,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.349431,0.0224009,0.00136456,0.0162342,152,7.338526,0.010905,raw;shoulder,2,B,1200,1,0.0867489,0.0214532,0.00136456,,,0,-0.00215544,-0.00134658,0.000527262,-0.00134658,0.0014378,-0.936556,0.0168095,-6.20631e-05,0.0162342,0.0560935,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.447595,0.323765,0.323765,0,155,7.439083,0.00851132,matched;raw;shoulder,3,B,1300.33,1,0.090195,0.0125696,0.00149423,w2:0.323765,2,0.323765,-0.00147493,0.00161596,-0.000191014,-0.000191014,0.00238807,-0.0799867,0.0530807,0.00063556,0,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,7.531735,0.369901,0.369901,0,158,7.545056,-0.0133209,matched;micro;raw;shoulder,4,A,2414.28,1,0.0994803,0.01064,0.00233921,w2:0.369901,2,0.369901,0.00103813,0.00160528,0.00180615,0.00160528,0.00115446,1.3905,0.0884658,0.00103627,0,0.154257,1,0
