frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.287961,0.00022518,0.00022518,0.0444714,,,,raw;shoulder,2,C,200,0,0.0822608,-0.122519,0.00022518,,,0,-0.000930407,-2.99373e-05,0.000270606,-2.99373e-05,0.00145887,-0.0205209,-0.00265139,1.55937e-05,0.0444714,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.335407,0.000470265,0.000470265,0.0480794,,,,shoulder,1,C,100,0,0.0819927,-0.118867,0.000470265,,,0,-0.00191677,-0.000989933,0.000933216,-0.000989933,0.00193378,-0.511916,0.0171662,0.000264713,0.0480794,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.351223,0.000119546,0.000119546,0.00946387,,,,raw,1,C,100,0,0.0821123,-0.117706,0.000119546,,,0,-0.00285927,-0.0018171,0.000723521,-0.0018171,0.00203029,-0.894992,0.0251145,0.000133554,0.00946387,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.446115,0.262323,0.262323,0.0612083,,,,matched;shoulder,2,C,200.263,0,0.0867179,-0.0994536,0.00106388,w2:0.262323,2,0.262323,-0.00530754,-0.000396339,0.00046967,-0.000396339,0.00636314,-0.0622867,0.102,0.000301504,0.0612083,0.126524,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.509377,4.44084,4.44084,0,,,,matched,1,C,104.441,0,0.0927812,-0.0804115,0,w8:4.44084,8,4.44084,-0.00775617,-0.00391286,-0.00418772,-0.00418772,0.004099,-1.02164,0.160949,-0.000640418,0,0.0632619,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.746609,6.89661e-05,6.89661e-05,0.0121247,,,,shoulder,1,C,100,0,0.107263,-0.120793,6.89661e-05,,,0,-0.247125,-0.167746,0.0967616,-0.167746,0.214297,-0.782773,2.65037,-0.00112876,0.0121247,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.778240,0.000919169,0.000919169,0.00925849,,,,shoulder,1,C,100.001,0,0.108487,-0.139376,0.000919169,,,0,-0.297487,-0.159225,0.051972,-0.159225,0.203622,-0.781962,2.62183,-0.000338919,0.00925849,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,11.031288,34.2805,34.2805,0,,,,matched,1,C,134.281,0,0.211269,-0.0583413,0,w2:34.2805,2,34.2805,-0.372742,0.0507491,-0.0168815,-0.0168815,0.553692,-0.0304891,-0.133759,0.0171884,0,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,11.331782,0.00472207,0.00472207,0.0549348,,,,shoulder,1,C,100.005,0,0.0905232,-0.162406,0.00472207,,,0,-0.276164,0.0492634,-0.158708,-0.158708,0.223058,-0.711512,-2.76214,0.00101378,0.0549348,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,11.600644,0.000839025,0.000839025,0.0802056,,,,shoulder,1,C,100.001,0,0.0917439,-0.11389,0.000839025,,,0,-0.00882619,0.0024847,-0.00511287,-0.00511287,0.00741413,-0.689612,-0.0840911,0.000294787,0.0802056,0.0316309,1,0
