peak_group,group_two_theta,frame_count,frame_coverage_fraction,longest_consecutive_run,median_position,position_mad_deg,pressure_position_slope_deg_per_gpa,max_roi_area,mean_confidence_tier,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,frames_present
54,3.983820,3,0.176471,1,3.98382,0,-0.000826878,0.000720225,2.66667,2,1,0,bump;matched;micro;raw;residual;shoulder,5;8,0.7GPa;1.3GPa;8.5GPa
55,4.011113,9,0.529412,6,4.01187,0.00264717,0.00104517,0.000472733,2.18182,2,9,0,bump;matched;micro;raw;residual;shoulder,3,0.7GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa
56,4.051760,9,0.529412,3,4.05394,0.00272911,-0.000124409,0.00590629,2.3,3,7,0,bump;matched;micro;raw;shoulder,2,1.3GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;8.5GPa;10.4GPa;13.3GPa;15.6GPa
57,4.080090,7,0.411765,4,4.08198,0.00631329,-9.24923e-05,0.00934548,2.25,2,6,0,matched;micro;raw;shoulder,2;3,1GPa;2.3GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa
58,4.114567,7,0.411765,2,4.11993,0.0041259,0.000341337,0.0104251,2.55556,5,4,0,bump;matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;7.4GPa;12.8GPa;13.3GPa
59,4.142398,6,0.352941,2,4.14482,0.00728255,0.000938544,0.00958306,2.66667,4,2,0,bump;matched;micro;raw;shoulder,2;3;5,1GPa;1.5GPa;2.3GPa;6.6GPa;10.4GPa;15.6GPa
60,4.178640,9,0.529412,2,4.18015,0.00304247,-0.000310021,0.0036101,2.54545,6,5,0,matched;micro;raw;shoulder,3;5,1.3GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa;15.6GPa
61,4.213437,8,0.470588,3,4.21482,0.00331333,-0.000131759,0.000863716,2.7,7,3,0,bump;matched;micro;raw;shoulder,2;3;5,0.7GPa;1.3GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;12.8GPa
62,4.247201,8,0.470588,5,4.25027,0.00790773,-2.27425e-05,0.000405297,2.6,6,4,0,bump;matched;micro;raw;shoulder,2;3;5,0.7GPa;1GPa;6.2GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
63,4.287192,6,0.352941,2,4.27831,0.000228357,0.000134709,0.000216415,2.28571,2,5,0,matched;micro;raw;shoulder,2;3,1GPa;1.3GPa;2.4GPa_decomp;5GPa;8.5GPa;12.8GPa
64,4.306370,3,0.176471,1,4.30636,0,0.001135,0.000317277,2.66667,2,1,0,matched;micro;raw;shoulder,2;3,0.7GPa;6.6GPa;13.3GPa
65,4.365336,10,0.588235,4,4.37298,0.00349918,0.000292133,0.000184001,2.3,3,7,0,bump;matched;micro;raw;shoulder,2;3;5,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;7.4GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa
66,4.404522,1,0.0588235,1,4.40452,0,,0.000112663,3,1,0,0,matched;micro;shoulder,2,13.3GPa
67,4.432672,3,0.176471,2,4.43257,0,0.00258162,0.00160469,2.33333,1,2,0,matched;micro;raw;shoulder,2,10.4GPa;13.3GPa;15.6GPa
68,4.476145,11,0.647059,5,4.47578,0.00790773,0.000533281,0.00651849,2.42857,6,8,0,matched;micro;raw;shoulder,2;3;5,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa
69,4.509138,11,0.647059,4,4.50269,0.00318582,0.000743528,0.00879224,2.46667,7,8,0,matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa
70,4.532140,4,0.235294,2,4.54476,0.00219046,-0.000436031,0.00746781,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,3;8,3.9GPa;7.4GPa;10.4GPa;12.8GPa
71,4.572750,9,0.529412,2,4.56276,0,0.000111385,0.0048081,2.54545,6,5,0,matched;micro;raw;shoulder,2;3;5,0.7GPa;1GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa
72,4.601735,8,0.470588,2,4.61021,0.00466455,-0.000408442,0.00243707,2.45455,5,6,0,matched;micro;raw;shoulder,2;3;5,1.3GPa;1.5GPa;2.4GPa_decomp;5GPa;6.2GPa;8.5GPa;9.8GPa;15.6GPa
